hour,plan_spend,fact_spend,plan_kpi,fact_kpi
0,1980.80,1978.50,3.405,2
1,4090.75,3936.61,6.987,4
2,6363.14,6207.78,10.804,10
3,8822.30,8666.13,14.904,11
4,11476.96,11198.46,19.328,13
5,14316.32,13710.35,24.090,20
6,17309.71,16684.29,29.180,21
7,20409.49,19751.18,34.552,26
8,23555.96,22896.33,40.126,32
9,26683.27,26022.69,45.788,35
10,29726.20,29065.38,51.401,41
11,32627.76,31964.69,56.826,43
12,35346.81,34681.54,61.945,48
13,37863.74,37197.01,66.685,50
14,40181.93,39514.17,71.026,55
15,42324.19,41654.53,74.999,57
16,44325.30,43653.76,78.666,59
17,46223.41,45550.10,82.108,60
18,48055.77,47381.37,85.400,66
19,49851.21,49175.37,88.604,67
20,51635.53,50958.55,91.771,68
21,53429.72,52751.87,94.938,72
22,55256.07,54506.04,98.141,75
23,57142.86,56166.25,101.420,76
24,59123.66,57911.04,104.825,77
25,61233.60,60006.35,108.407,80
26,63506.00,62168.71,112.224,82
27,65965.16,64626.71,116.324,82
28,68619.82,67143.97,120.748,89
29,71459.18,69980.81,125.510,92
30,74452.57,72973.00,130.600,100
31,77552.35,76072.56,135.972,106
32,80698.81,79218.81,141.546,109
33,83826.13,82343.69,147.208,112
34,86869.06,85385.86,152.821,115
35,89770.61,88285.46,158.246,124
36,92489.67,91002.68,163.365,129
37,95006.60,93518.94,168.105,131
38,97324.79,95835.35,172.446,134
39,99467.05,97976.05,176.419,135
40,101468.16,99975.72,180.086,137
41,103366.27,101872.46,183.528,142
42,105198.63,103703.93,186.820,143
43,106994.07,105498.06,190.024,143
44,108778.39,107280.42,193.191,144
45,110572.58,109072.68,196.358,144
46,112398.92,110898.45,199.561,147
47,114285.71,112773.85,202.840,148
48,116266.52,114753.25,206.245,152
49,118376.46,116861.83,209.827,154
50,120648.85,119132.98,213.643,155
51,123108.01,121589.96,217.744,157
52,125762.68,124244.28,222.168,163
53,128602.04,127082.05,226.930,168
54,131595.42,130074.83,232.020,170
55,134695.20,133173.35,237.392,172
56,137841.67,136318.97,242.966,176
57,140968.98,139445.81,248.628,182
58,144011.91,142487.54,254.241,190
59,146913.47,145386.99,259.666,198
60,149632.52,148104.60,264.785,201
61,152149.45,150619.96,269.525,204
62,154467.65,152937.83,273.866,207
63,156609.91,155078.98,277.838,213
64,158611.02,157078.52,281.506,216
65,160509.12,158975.84,284.948,216
66,162341.49,160806.31,288.240,221
67,164136.93,162600.14,291.444,221
68,165921.25,164383.88,294.611,226
69,167715.43,166177.86,297.778,229
70,169541.78,167868.90,300.981,230
71,171428.57,169754.49,304.260,235
72,173409.37,171733.61,307.664,239
73,175519.32,173814.24,311.247,243
74,177791.71,176085.06,315.063,247
